feature,chi2_score,p_value
cleaning,10.314285714285715,0.0013200437675611992
make,10.294117647058824,0.0013345495264690788
took,10.294117647058824,0.0013345495264690788
ave,10.285714285714286,0.0013406411172294797
cigarette,10.285714285714286,0.0013406411172294797
fan,10.285714285714286,0.0013406411172294797
small,10.177570093457945,0.0014215940314218855
to,10.133617021276596,0.001455894356820464
when,10.100511073253832,0.0014822821082434929
like,10.068100358422939,0.0015085849302197217
settled,10.0,0.0015654022580025482
year,10.0,0.0015654022580025482
room,9.989261744966443,0.001574557177377051
children,9.941176470588236,0.0016162222150599888
river,9.941176470588236,0.0016162222150599888
chair,9.8,0.0017451186995289035
dark,9.782608695652174,0.0017617019214338058
has,9.707070707070708,0.001835603719297119
at,9.653321201091902,0.001890095476549134
place,9.32258064516129,0.0022634698120351806
aware,9.307692307692308,0.0022819372533154484
minibar,9.307692307692308,0.0022819372533154484
coffee,9.280701754385966,0.002315806909890592
need,9.280701754385966,0.002315806909890592
certainly,9.142857142857142,0.0024969089151415497
years,9.142857142857142,0.0024969089151415497
rate,9.090909090909092,0.0025688315270227173
this,9.023017902813299,0.002666008585689427
reviews,9.0,0.00269979606326019
thru,9.0,0.00269979606326019
honor,9.0,0.00269979606326019
seasons,9.0,0.00269979606326019
removed,9.0,0.00269979606326019
luxurious,9.0,0.00269979606326019
spoon,9.0,0.00269979606326019
eggs,9.0,0.00269979606326019
blocks,9.0,0.00269979606326019
policy,9.0,0.00269979606326019
spend,8.804878048780488,0.003004262239398284
have,8.786440677966102,0.003034777960664355
around,8.71111111111111,0.003162763790369111
on,8.701176470588235,0.003180047412718692
into,8.677966101694915,0.0032208022908332893
staying,8.44186046511628,0.0036668091984670454
doorman,8.333333333333334,0.003892417122778628
requests,8.333333333333334,0.003892417122778628
anniversary,8.333333333333334,0.003892417122778628
food,8.326732673267326,0.003906585843537724
can,8.257142857142858,0.004059196365555055
wait,8.166666666666666,0.004266724822176131
odor,8.166666666666666,0.004266724822176131
called,8.112359550561798,0.004396446334636425
cleanliness,8.066666666666666,0.004508698364904238
white,8.047619047619047,0.004556349803185133
within,8.047619047619047,0.004556349803185133
review,8.047619047619047,0.004556349803185133
wrong,8.022222222222222,0.004620683963359924
recommend,8.0,0.004677734981047265
soda,8.0,0.004677734981047265
steak,8.0,0.004677734981047265
bottle,8.0,0.004677734981047265
peninsula,8.0,0.004677734981047265
peeling,8.0,0.004677734981047265
shoes,8.0,0.004677734981047265
facing,8.0,0.004677734981047265
doormen,8.0,0.004677734981047265
close,7.714285714285714,0.00547855324254737
line,7.680851063829787,0.005580984136839312
second,7.680851063829787,0.005580984136839312
why,7.529411764705882,0.0060699723620232845
hour,7.511111111111111,0.006131953304081295
cancel,7.363636363636363,0.006655605482949392
older,7.363636363636363,0.006655605482949392
11,7.363636363636363,0.006655605482949392
managers,7.363636363636363,0.006655605482949392
loved,7.363636363636363,0.006655605482949392
hilton,7.352941176470588,0.006695313538751212
motel,7.3478260869565215,0.006714389785549477
vacation,7.3478260869565215,0.006714389785549477
homewood,7.3478260869565215,0.006714389785549477
above,7.258064516129032,0.007058332048528111
guests,7.2465753424657535,0.0071036363997421465
expected,7.229508196721311,0.007171485075801841
wonderful,7.2,0.007290358091535637
including,7.142857142857143,0.007526315166457889
television,7.142857142857143,0.007526315166457889
hold,7.117647058823529,0.0076328817877923
than,7.08092485549133,0.0077908789497321265
points,7.0,0.008150971593502695
gift,7.0,0.008150971593502695
somewhere,7.0,0.008150971593502695
adults,7.0,0.008150971593502695
larger,7.0,0.008150971593502695
luck,7.0,0.008150971593502695
etc,7.0,0.008150971593502695
movie,7.0,0.008150971593502695
claims,7.0,0.008150971593502695
3rd,7.0,0.008150971593502695
awesome,7.0,0.008150971593502695
phone,6.8979591836734695,0.00862942022077532
expecting,6.818181818181818,0.009023438818080327
looked,6.76,0.009322376047437502
wall,6.7368421052631575,0.009444165687832658
looks,6.545454545454546,0.01051524593585891
property,6.545454545454546,0.01051524593585891
returned,6.533333333333333,0.010587137334056931
broken,6.4,0.01141203638600166
roll,6.4,0.01141203638600166
fell,6.4,0.01141203638600166
frequently,6.4,0.01141203638600166
manager,6.368421052631579,0.011616891434158366
cab,6.368421052631579,0.011616891434158366
traffic,6.368421052631579,0.011616891434158366
hallways,6.368421052631579,0.011616891434158366
checkout,6.25,0.012419330651552277
hours,6.25,0.012419330651552277
dated,6.25,0.012419330651552277
covered,6.230769230769231,0.012554918596966539
value,6.230769230769231,0.012554918596966539
saturday,6.230769230769231,0.012554918596966539
often,6.230769230769231,0.012554918596966539
so,6.20763723150358,0.012720029755813609
available,6.205128205128205,0.0127380722748575
else,6.11864406779661,0.01337633665379313
told,6.095238095238095,0.013554666064815537
sorely,6.0,0.014305878435429645
celebrate,6.0,0.014305878435429645
stark,6.0,0.014305878435429645
min,6.0,0.014305878435429645
dissatisfied,6.0,0.014305878435429645
demanded,6.0,0.014305878435429645
pros,6.0,0.014305878435429645
put,6.0,0.014305878435429645
yellow,6.0,0.014305878435429645
emergency,6.0,0.014305878435429645
maids,6.0,0.014305878435429645
relatively,6.0,0.014305878435429645
today,6.0,0.014305878435429645
leaked,6.0,0.014305878435429645
ritz,6.0,0.014305878435429645
windy,6.0,0.014305878435429645
patrons,6.0,0.014305878435429645
hate,6.0,0.014305878435429645
shown,6.0,0.014305878435429645
monoco,6.0,0.014305878435429645
problem,5.8979591836734695,0.01515843887743946
here,5.885057471264368,0.015269899244800874
ambassador,5.827586206896552,0.01577675638892809
soon,5.827586206896552,0.01577675638892809
bar,5.813186813186813,0.01590644410170335
us,5.802631578947368,0.016002207003435933
lobby,5.764705882352941,0.01635122157580586
horrible,5.764705882352941,0.01635122157580586
oh,5.761904761904762,0.016377308341494916
needless,5.761904761904762,0.016377308341494916
try,5.666666666666667,0.017290280592906264
expect,5.666666666666667,0.017290280592906264
am,5.647058823529412,0.017484674410521373
looking,5.627906976744186,0.01767672544584215
worst,5.586206896551724,0.018102455149462255
helpful,5.565217391304348,0.01832073542194122
wine,5.555555555555555,0.01842212545409897
ve,5.553846153846154,0.018440123937691434
hair,5.538461538461538,0.018602929901135754
computer,5.538461538461538,0.018602929901135754
park,5.487804878048781,0.01914957150076613
north,5.444444444444445,0.019630657257290664
wallpaper,5.444444444444445,0.019630657257290664
mine,5.444444444444445,0.019630657257290664
credit,5.444444444444445,0.019630657257290664
acted,5.444444444444445,0.019630657257290664
attempted,5.444444444444445,0.019630657257290664
world,5.4,0.020136751550346364
mind,5.4,0.020136751550346364
unfriendly,5.4,0.020136751550346364
major,5.4,0.020136751550346364
stale,5.4,0.020136751550346364
closet,5.4,0.020136751550346364
young,5.4,0.020136751550346364
nicer,5.4,0.020136751550346364
husband,5.388059701492537,0.0202750033611269
event,5.333333333333333,0.020921335337794042
hit,5.333333333333333,0.020921335337794042
full,5.333333333333333,0.020921335337794042
weekend,5.313253012048193,0.02116380354868066
nights,5.2631578947368425,0.02178146279111951
pictures,5.260869565217392,0.0218101191437224
under,5.232558139534884,0.022167905752988822
downtown,5.225806451612903,0.022254124823099172
then,5.2,0.0225868881641797
said,5.1652892561983474,0.023042620087761857
charged,5.157894736842105,0.023140931308743746
reserved,5.157894736842105,0.023140931308743746
shower,5.148936170212766,0.0232606195854516
don,5.148936170212766,0.0232606195854516
whole,5.121212121212121,0.02363510198283394
wanted,5.12,0.02365161665535601
free,5.068965517241379,0.02435791571803707
checked,5.038095238095238,0.024795739680656525
mark,5.0,0.025347318677468252
brother,5.0,0.025347318677468252
hrh,5.0,0.025347318677468252
attached,5.0,0.025347318677468252
certificate,5.0,0.025347318677468252
news,5.0,0.025347318677468252
mail,5.0,0.025347318677468252
toward,5.0,0.025347318677468252
advisor,5.0,0.025347318677468252
hrs,5.0,0.025347318677468252
variety,5.0,0.025347318677468252
cake,5.0,0.025347318677468252
bedbugs,5.0,0.025347318677468252
al,5.0,0.025347318677468252
bellboy,5.0,0.025347318677468252
texting,5.0,0.025347318677468252
temp,5.0,0.025347318677468252
baggage,5.0,0.025347318677468252
com,5.0,0.025347318677468252
decision,5.0,0.025347318677468252
sell,5.0,0.025347318677468252
washington,5.0,0.025347318677468252
roaches,5.0,0.025347318677468252
charges,5.0,0.025347318677468252
5th,5.0,0.025347318677468252
sister,5.0,0.025347318677468252
phones,5.0,0.025347318677468252
company,5.0,0.025347318677468252
james,5.0,0.025347318677468252
westin,5.0,0.025347318677468252
duvet,5.0,0.025347318677468252
fitzpatrick,5.0,0.025347318677468252
keep,5.0,0.025347318677468252
rooftop,5.0,0.025347318677468252
6th,5.0,0.025347318677468252
noted,5.0,0.025347318677468252
reasons,5.0,0.025347318677468252
features,5.0,0.025347318677468252
faint,5.0,0.025347318677468252
read,5.0,0.025347318677468252
cigarettes,5.0,0.025347318677468252
girl,5.0,0.025347318677468252
post,5.0,0.025347318677468252
pre,5.0,0.025347318677468252
noisy,5.0,0.025347318677468252
separate,5.0,0.025347318677468252
courteous,5.0,0.025347318677468252
hardly,5.0,0.025347318677468252
chicken,5.0,0.025347318677468252
all,4.975429975429975,0.025709812366084557
card,4.923076923076923,0.026500280602491884
from,4.913705583756345,0.026644420998149895
times,4.909090909090909,0.026715698447179467
door,4.88135593220339,0.02714828467902779
after,4.878378378378378,0.027195156956906965
rest,4.84,0.027806895026997226
use,4.8133333333333335,0.02824036873330046
bed,4.797356828193832,0.028503434246852893
red,4.764705882352941,0.029049022161940604
quiet,4.764705882352941,0.029049022161940604
package,4.764705882352941,0.029049022161940604
sheets,4.7407407407407405,0.02945638563257139
money,4.6421052631578945,0.031196709732934032
there,4.597381342062193,0.03202083028033728
head,4.571428571428571,0.03250944464571958
relaxing,4.571428571428571,0.03250944464571958
table,4.571428571428571,0.03250944464571958
directly,4.571428571428571,0.03250944464571958
email,4.571428571428571,0.03250944464571958
happened,4.545454545454546,0.03300625766123261
giving,4.5,0.033894853524689315
cup,4.5,0.033894853524689315
swim,4.5,0.033894853524689315
bellman,4.5,0.033894853524689315
tile,4.5,0.033894853524689315
decorated,4.5,0.033894853524689315
telling,4.5,0.033894853524689315
fish,4.5,0.033894853524689315
attending,4.5,0.033894853524689315
managed,4.5,0.033894853524689315
ordered,4.5,0.033894853524689315
cramped,4.5,0.033894853524689315
never,4.497326203208556,0.03394789608749717
hopes,4.454545454545454,0.03480847881186714
cover,4.454545454545454,0.03480847881186714
degrees,4.454545454545454,0.03480847881186714
particularly,4.454545454545454,0.03480847881186714
trash,4.454545454545454,0.03480847881186714
delayed,4.454545454545454,0.03480847881186714
train,4.454545454545454,0.03480847881186714
nightmare,4.454545454545454,0.03480847881186714
response,4.454545454545454,0.03480847881186714
100,4.454545454545454,0.03480847881186714
sub,4.454545454545454,0.03480847881186714
tell,4.333333333333333,0.037372988340651496
conrad,4.266666666666667,0.038867103812417245
pillow,4.2631578947368425,0.03894745574202542
clearly,4.2631578947368425,0.03894745574202542
doors,4.2631578947368425,0.03894745574202542
affinia,4.235294117647059,0.03959176323669045
of,4.223618090452261,0.03986506925225977
pool,4.188405797101449,0.040701354556118056
got,4.1840796019900495,0.040805364066966
bill,4.172413793103448,0.04108722452782131
cold,4.129032258064516,0.042153450235705436
notch,4.0,0.045500263896358445
voucher,4.0,0.045500263896358445
mad,4.0,0.045500263896358445
grout,4.0,0.045500263896358445
impressive,4.0,0.045500263896358445
guys,4.0,0.045500263896358445
stylish,4.0,0.045500263896358445
dvd,4.0,0.045500263896358445
impression,4.0,0.045500263896358445
laws,4.0,0.045500263896358445
drain,4.0,0.045500263896358445
rental,4.0,0.045500263896358445
flowers,4.0,0.045500263896358445
circumstances,4.0,0.045500263896358445
transferred,4.0,0.045500263896358445
16,4.0,0.045500263896358445
charm,4.0,0.045500263896358445
making,4.0,0.045500263896358445
properly,4.0,0.045500263896358445
approximately,4.0,0.045500263896358445
march,4.0,0.045500263896358445
eventually,4.0,0.045500263896358445
maker,4.0,0.045500263896358445
lived,4.0,0.045500263896358445
establishment,4.0,0.045500263896358445
erica,4.0,0.045500263896358445
spots,4.0,0.045500263896358445
vomit,4.0,0.045500263896358445
trump,4.0,0.045500263896358445
incorrect,4.0,0.045500263896358445
materials,4.0,0.045500263896358445
assistant,4.0,0.045500263896358445
english,4.0,0.045500263896358445
engineer,4.0,0.045500263896358445
rare,4.0,0.045500263896358445
file,4.0,0.045500263896358445
occasions,4.0,0.045500263896358445
attend,4.0,0.045500263896358445
forever,4.0,0.045500263896358445
forgotten,4.0,0.045500263896358445
bartender,4.0,0.045500263896358445
grade,4.0,0.045500263896358445
hundred,4.0,0.045500263896358445
cons,4.0,0.045500263896358445
waste,4.0,0.045500263896358445
gratuity,4.0,0.045500263896358445
upcharge,4.0,0.045500263896358445
watched,4.0,0.045500263896358445
allowing,4.0,0.045500263896358445
update,4.0,0.045500263896358445
65,4.0,0.045500263896358445
supply,4.0,0.045500263896358445
length,4.0,0.045500263896358445
intended,4.0,0.045500263896358445
cookie,4.0,0.045500263896358445
bringing,4.0,0.045500263896358445
correctly,4.0,0.045500263896358445
shabby,4.0,0.045500263896358445
intercontinental,4.0,0.045500263896358445
bookit,4.0,0.045500263896358445
bother,4.0,0.045500263896358445
june,4.0,0.045500263896358445
credits,4.0,0.045500263896358445
monday,4.0,0.045500263896358445
basement,4.0,0.045500263896358445
terrace,4.0,0.045500263896358445
scratchy,4.0,0.045500263896358445
romance,4.0,0.045500263896358445
bathrobe,4.0,0.045500263896358445
smelling,4.0,0.045500263896358445
ignore,4.0,0.045500263896358445
accessible,4.0,0.045500263896358445
resturant,4.0,0.045500263896358445
dishes,4.0,0.045500263896358445
vacuum,4.0,0.045500263896358445
highly,4.0,0.045500263896358445
odors,4.0,0.045500263896358445
ambience,4.0,0.045500263896358445
rollaway,4.0,0.045500263896358445
logo,4.0,0.045500263896358445
ruined,4.0,0.045500263896358445
bellmen,4.0,0.045500263896358445
futon,4.0,0.045500263896358445
cabinet,4.0,0.045500263896358445
hvac,4.0,0.045500263896358445
54,4.0,0.045500263896358445
verify,4.0,0.045500263896358445
terrible,3.9302325581395348,0.04742538550874118
water,3.9026548672566372,0.04820986743883682
some,3.8850574712643677,0.04871759506415522
going,3.881720430107527,0.04881451186583113
mini,3.857142857142857,0.049534613435626706
towers,3.857142857142857,0.049534613435626706
00,3.857142857142857,0.049534613435626706
kids,3.857142857142857,0.049534613435626706
stay,3.8135593220338984,0.05083930806950181
re,3.8135593220338984,0.05083930806950181
concierge,3.789473684210526,0.05157586362087711
fancy,3.769230769230769,0.05220363534131462
heart,3.769230769230769,0.05220363534131462
find,3.7216494845360826,0.0537112859652765
what,3.7048458149779737,0.054254683923453666
ever,3.6582278481012658,0.055792946955538165
come,3.6296296296296298,0.05675944638601351
every,3.6296296296296298,0.05675944638601351
arranged,3.6,0.05777957112359719
cut,3.6,0.05777957112359719
repair,3.6,0.05777957112359719
lake,3.6,0.05777957112359719
accommodate,3.6,0.05777957112359719
block,3.6,0.05777957112359719
entrance,3.6,0.05777957112359719
possible,3.6,0.05777957112359719
shouldn,3.6,0.05777957112359719
charging,3.6,0.05777957112359719
2010,3.5714285714285716,0.05878172135535883
agent,3.5714285714285716,0.05878172135535883
sunday,3.5714285714285716,0.05878172135535883
granted,3.5714285714285716,0.05878172135535883
30pm,3.5714285714285716,0.05878172135535883
suggest,3.5714285714285716,0.05878172135535883
traveled,3.5714285714285716,0.05878172135535883
marriott,3.5714285714285716,0.05878172135535883
beat,3.5714285714285716,0.05878172135535883
lukewarm,3.5714285714285716,0.05878172135535883
champagne,3.5714285714285716,0.05878172135535883
mattresses,3.5714285714285716,0.05878172135535883
towel,3.5714285714285716,0.05878172135535883
locked,3.5714285714285716,0.05878172135535883
chosen,3.5714285714285716,0.05878172135535883
gold,3.5714285714285716,0.05878172135535883
accepted,3.5714285714285716,0.05878172135535883
crowded,3.5714285714285716,0.05878172135535883
currently,3.5714285714285716,0.05878172135535883
question,3.5714285714285716,0.05878172135535883
tasted,3.5714285714285716,0.05878172135535883
loop,3.5714285714285716,0.05878172135535883
facility,3.5714285714285716,0.05878172135535883
bites,3.5714285714285716,0.05878172135535883
claimed,3.5714285714285716,0.05878172135535883
noticed,3.5714285714285716,0.05878172135535883
excuse,3.5714285714285716,0.05878172135535883
bottles,3.5714285714285716,0.05878172135535883
millenium,3.5714285714285716,0.05878172135535883
pm,3.5555555555555554,0.05934643879191991
choose,3.5555555555555554,0.05934643879191991
sort,3.5555555555555554,0.05934643879191991
pay,3.5555555555555554,0.05934643879191991
main,3.5555555555555554,0.05934643879191991
pleasant,3.5217391304347827,0.060568860202657566
friends,3.5217391304347827,0.060568860202657566
our,3.501519756838906,0.06131254024988499
definitely,3.4489795918367347,0.06329083223334532
anyone,3.4489795918367347,0.06329083223334532
extra,3.4489795918367347,0.06329083223334532
tv,3.4489795918367347,0.06329083223334532
booked,3.4482758620689653,0.06331778683004557
deal,3.4285714285714284,0.06407750645105953
still,3.4,0.06519641907813013
hard,3.375,0.06619257972219346
any,3.366412213740458,0.06653851267762274
issue,3.3333333333333335,0.06788915486182909
east,3.3333333333333335,0.06788915486182909
say,3.3333333333333335,0.06788915486182909
good,3.272727272727273,0.0704404292720881
bathrooms,3.2666666666666666,0.07070114486598317
hoping,3.2666666666666666,0.07070114486598317
refund,3.2666666666666666,0.07070114486598317
spending,3.2666666666666666,0.07070114486598317
for,3.263193968471556,0.0708509993151964
issues,3.24,0.0718606382258515
hadn,3.2,0.07363827012030295
mention,3.2,0.07363827012030295
myself,3.2,0.07363827012030295
mediocre,3.2,0.07363827012030295
nearly,3.2,0.07363827012030295
it,3.1950177935943063,0.07386296639979104
15,3.130434782608696,0.07684324403365658
through,3.130434782608696,0.07684324403365658
window,3.125,0.07709987174354178
luggage,3.125,0.07709987174354178
knickerbocker,3.125,0.07709987174354178
business,3.10752688172043,0.077931210612562
without,3.1025641025641026,0.07816908582428368
other,3.0578034682080926,0.08035022002547111
breakfast,3.0476190476190474,0.08085559837005245
badly,3.0,0.08326451666355052
dress,3.0,0.08326451666355052
throbbing,3.0,0.08326451666355052
starters,3.0,0.08326451666355052
meridian,3.0,0.08326451666355052
exceptionally,3.0,0.08326451666355052
basics,3.0,0.08326451666355052
illinois,3.0,0.08326451666355052
remembered,3.0,0.08326451666355052
started,3.0,0.08326451666355052
clientele,3.0,0.08326451666355052
premier,3.0,0.08326451666355052
tight,3.0,0.08326451666355052
thursday,3.0,0.08326451666355052
cider,3.0,0.08326451666355052
mentioned,3.0,0.08326451666355052
repairman,3.0,0.08326451666355052
handicapped,3.0,0.08326451666355052
exercise,3.0,0.08326451666355052
inspect,3.0,0.08326451666355052
spoke,3.0,0.08326451666355052
cleaner,3.0,0.08326451666355052
exhaust,3.0,0.08326451666355052
tickets,3.0,0.08326451666355052
barking,3.0,0.08326451666355052
splurge,3.0,0.08326451666355052
impeccable,3.0,0.08326451666355052
drained,3.0,0.08326451666355052
spring,3.0,0.08326451666355052
happier,3.0,0.08326451666355052
wacker,3.0,0.08326451666355052
threw,3.0,0.08326451666355052
carlton,3.0,0.08326451666355052
starts,3.0,0.08326451666355052
suits,3.0,0.08326451666355052
1pm,3.0,0.08326451666355052
emailed,3.0,0.08326451666355052
bulb,3.0,0.08326451666355052
uses,3.0,0.08326451666355052
holder,3.0,0.08326451666355052
btw,3.0,0.08326451666355052
agreement,3.0,0.08326451666355052
bring,3.0,0.08326451666355052
brief,3.0,0.08326451666355052
tenth,3.0,0.08326451666355052
realized,3.0,0.08326451666355052
putting,3.0,0.08326451666355052
reality,3.0,0.08326451666355052
urine,3.0,0.08326451666355052
upcoming,3.0,0.08326451666355052
bitten,3.0,0.08326451666355052
19,3.0,0.08326451666355052
boys,3.0,0.08326451666355052
queens,3.0,0.08326451666355052
rating,3.0,0.08326451666355052
17,3.0,0.08326451666355052
teenager,3.0,0.08326451666355052
board,3.0,0.08326451666355052
tax,3.0,0.08326451666355052
entirely,3.0,0.08326451666355052
team,3.0,0.08326451666355052
tech,3.0,0.08326451666355052
eliminated,3.0,0.08326451666355052
bust,3.0,0.08326451666355052
providing,3.0,0.08326451666355052
highway,3.0,0.08326451666355052
flooded,3.0,0.08326451666355052
involved,3.0,0.08326451666355052
vents,3.0,0.08326451666355052
metal,3.0,0.08326451666355052
father,3.0,0.08326451666355052
advertises,3.0,0.08326451666355052
registration,3.0,0.08326451666355052
knocking,3.0,0.08326451666355052
network,3.0,0.08326451666355052
dust,3.0,0.08326451666355052
carried,3.0,0.08326451666355052
began,3.0,0.08326451666355052
2012,3.0,0.08326451666355052
strawberries,3.0,0.08326451666355052
helping,3.0,0.08326451666355052
refer,3.0,0.08326451666355052
michelle,3.0,0.08326451666355052
locations,3.0,0.08326451666355052
natural,3.0,0.08326451666355052
narrow,3.0,0.08326451666355052
affina,3.0,0.08326451666355052
practice,3.0,0.08326451666355052
afford,3.0,0.08326451666355052
firstly,3.0,0.08326451666355052
pocket,3.0,0.08326451666355052
edge,3.0,0.08326451666355052
reconsider,3.0,0.08326451666355052
clinical,3.0,0.08326451666355052
sales,3.0,0.08326451666355052
hail,3.0,0.08326451666355052
wire,3.0,0.08326451666355052
frayed,3.0,0.08326451666355052
9th,3.0,0.08326451666355052
rise,3.0,0.08326451666355052
rip,3.0,0.08326451666355052
priority,3.0,0.08326451666355052
dc,3.0,0.08326451666355052
marijuana,3.0,0.08326451666355052
rough,3.0,0.08326451666355052
sides,3.0,0.08326451666355052
treat,3.0,0.08326451666355052
debit,3.0,0.08326451666355052
cooling,3.0,0.08326451666355052
lid,3.0,0.08326451666355052
cook,3.0,0.08326451666355052
route,3.0,0.08326451666355052
deceiving,3.0,0.08326451666355052
signal,3.0,0.08326451666355052
scum,3.0,0.08326451666355052
rowdy,3.0,0.08326451666355052
waterfront,3.0,0.08326451666355052
inches,3.0,0.08326451666355052
convenience,3.0,0.08326451666355052
controls,3.0,0.08326451666355052
patience,3.0,0.08326451666355052
lie,3.0,0.08326451666355052
inn,3.0,0.08326451666355052
72,3.0,0.08326451666355052
kinds,3.0,0.08326451666355052
meal,3.0,0.08326451666355052
9am,3.0,0.08326451666355052
tries,3.0,0.08326451666355052
99,3.0,0.08326451666355052
extensively,3.0,0.08326451666355052
initial,3.0,0.08326451666355052
section,3.0,0.08326451666355052
outrageously,3.0,0.08326451666355052
peaceful,3.0,0.08326451666355052
indicated,3.0,0.08326451666355052
69,3.0,0.08326451666355052
lesser,3.0,0.08326451666355052
fails,3.0,0.08326451666355052
aria,3.0,0.08326451666355052
curt,3.0,0.08326451666355052
serviced,3.0,0.08326451666355052
78,3.0,0.08326451666355052
settling,3.0,0.08326451666355052
seven,3.0,0.08326451666355052
inconsistent,3.0,0.08326451666355052
severely,3.0,0.08326451666355052
direction,3.0,0.08326451666355052
38,3.0,0.08326451666355052
otherwise,3.0,0.08326451666355052
whistle,3.0,0.08326451666355052
expressed,3.0,0.08326451666355052
800,3.0,0.08326451666355052
85,3.0,0.08326451666355052
shared,3.0,0.08326451666355052
cream,3.0,0.08326451666355052
inconvenient,3.0,0.08326451666355052
weather,3.0,0.08326451666355052
pending,3.0,0.08326451666355052
dishwasher,3.0,0.08326451666355052
screwed,3.0,0.08326451666355052
revealed,3.0,0.08326451666355052
gum,3.0,0.08326451666355052
smiles,3.0,0.08326451666355052
skin,3.0,0.08326451666355052
touted,3.0,0.08326451666355052
responded,3.0,0.08326451666355052
respond,3.0,0.08326451666355052
compelled,3.0,0.08326451666355052
snobby,3.0,0.08326451666355052
tough,3.0,0.08326451666355052
guaranteed,3.0,0.08326451666355052
doll,3.0,0.08326451666355052
fuss,3.0,0.08326451666355052
awaken,3.0,0.08326451666355052
colors,3.0,0.08326451666355052
donna,3.0,0.08326451666355052
pair,3.0,0.08326451666355052
accurate,3.0,0.08326451666355052
soooo,3.0,0.08326451666355052
coffeemaker,3.0,0.08326451666355052
departure,3.0,0.08326451666355052
details,3.0,0.08326451666355052
code,3.0,0.08326451666355052
saving,3.0,0.08326451666355052
sorts,3.0,0.08326451666355052
palmer,3.0,0.08326451666355052
exited,3.0,0.08326451666355052
reputation,3.0,0.08326451666355052
des,3.0,0.08326451666355052
paris,3.0,0.08326451666355052
automated,3.0,0.08326451666355052
liking,3.0,0.08326451666355052
6pm,3.0,0.08326451666355052
skyline,3.0,0.08326451666355052
inadequate,3.0,0.08326451666355052
packing,3.0,0.08326451666355052
scowled,3.0,0.08326451666355052
slam,3.0,0.08326451666355052
